"Step","dual_agent_nyc_man_south_mode0 - combined/total_reward","dual_agent_nyc_man_south_mode0 - combined/total_reward__MIN","dual_agent_nyc_man_south_mode0 - combined/total_reward__MAX"
"3335","16781.22372044622","16781.22372044622","16781.22372044622"
"3341","17469.813697968697","17469.813697968697","17469.813697968697"
"3353","17341.19826787102","17341.19826787102","17341.19826787102"
"3356","17174.33213666889","17174.33213666889","17174.33213666889"
"3365","17538.11430730381","17538.11430730381","17538.11430730381"
"3367","17651.470154872903","17651.470154872903","17651.470154872903"
"3372","16670.661456016205","16670.661456016205","16670.661456016205"
"3398","17719.560207847706","17719.560207847706","17719.560207847706"
"3417","17741.48943045843","17741.48943045843","17741.48943045843"
"3419","17880.624309662562","17880.624309662562","17880.624309662562"
"3444","17548.7804506327","17548.7804506327","17548.7804506327"
"3485","17041.88000666001","17041.88000666001","17041.88000666001"
"3494","17495.959615911866","17495.959615911866","17495.959615911866"
"3506","17252.51228712954","17252.51228712954","17252.51228712954"
"3515","18306.546400738152","18306.546400738152","18306.546400738152"
"3528","17352.608758463757","17352.608758463757","17352.608758463757"
"3536","17228.5970549173","17228.5970549173","17228.5970549173"
"3543","17712.855535520037","17712.855535520037","17712.855535520037"
"3557","17682.215257548007","17682.215257548007","17682.215257548007"
"3563","17181.21977120102","17181.21977120102","17181.21977120102"
"3566","17370.252939948943","17370.252939948943","17370.252939948943"
"3571","17358.648400044396","17358.648400044396","17358.648400044396"
"3577","18449.514351232105","18449.514351232105","18449.514351232105"
"3588","17308.305950160953","17308.305950160953","17308.305950160953"
"3595","17825.203534604283","17825.203534604283","17825.203534604283"
"3599","16917.512352647354","16917.512352647354","16917.512352647354"
"3601","17553.347037351537","17553.347037351537","17553.347037351537"
"3602","16948.48098717949","16948.48098717949","16948.48098717949"
"3608","16971.32712465313","16971.32712465313","16971.32712465313"
"3610","18333.0086985237","18333.0086985237","18333.0086985237"
"3629","17074.16610642136","17074.16610642136","17074.16610642136"
"3633","16494.571615689863","16494.571615689863","16494.571615689863"
"3648","17300.425274725276","17300.425274725276","17300.425274725276"
"3656","17543.627294511047","17543.627294511047","17543.627294511047"
"3667","17179.92920795871","17179.92920795871","17179.92920795871"
"3673","17471.066858918857","17471.066858918857","17471.066858918857"
"3678","17133.860801143303","17133.860801143303","17133.860801143303"
"3679","17644.621150016654","17644.621150016654","17644.621150016654"
"3740","16850.169306166055","16850.169306166055","16850.169306166055"
"3749","17927.26042143967","17927.26042143967","17927.26042143967"
"3750","17387.71645843046","17387.71645843046","17387.71645843046"
"3758","17410.067921661677","17410.067921661677","17410.067921661677"
"3765","16912.294492562993","16912.294492562993","16912.294492562993"
"3767","17570.15898046398","17570.15898046398","17570.15898046398"
"3789","17933.15456340881","17933.15456340881","17933.15456340881"
"3794","16603.131491341992","16603.131491341992","16603.131491341992"
"3803","16957.892194361193","16957.892194361193","16957.892194361193"
"3815","16735.403992257743","16735.403992257743","16735.403992257743"
"3818","17168.59823268398","17168.59823268398","17168.59823268398"
"3836","17522.661741175492","17522.661741175492","17522.661741175492"
"3838","17503.663225080476","17503.663225080476","17503.663225080476"
"3849","16865.002741952492","16865.002741952492","16865.002741952492"
"3857","17058.083162254414","17058.083162254414","17058.083162254414"
"3871","17460.4396932512","17460.4396932512","17460.4396932512"
"3878","17087.439672688426","17087.439672688426","17087.439672688426"
"3883","17577.060332389832","17577.060332389832","17577.060332389832"
"3887","17360.848181068934","17360.848181068934","17360.848181068934"
"3889","17466.143833583083","17466.143833583083","17466.143833583083"
"3892","17534.66089890665","17534.66089890665","17534.66089890665"
"3910","17800.444002664","17800.444002664","17800.444002664"
"3921","17435.69988997114","17435.69988997114","17435.69988997114"
"3923","17649.635652514153","17649.635652514153","17649.635652514153"
"3931","18314.36743553669","18314.36743553669","18314.36743553669"
"3951","16830.1180929626","16830.1180929626","16830.1180929626"
"3958","17546.725469669218","17546.725469669218","17546.725469669218"
"3961","16788.292160506164","16788.292160506164","16788.292160506164"
"3974","17746.37535606061","17746.37535606061","17746.37535606061"
"3993","17695.769394300143","17695.769394300143","17695.769394300143"
"4009","17921.82857989233","17921.82857989233","17921.82857989233"
"4012","17640.36549103674","17640.36549103674","17640.36549103674"
"4016","16801.468994338997","16801.468994338997","16801.468994338997"
"4021","17533.224573010328","17533.224573010328","17533.224573010328"
"4032","17145.762155927405","17145.762155927405","17145.762155927405"
"4040","17411.51091239316","17411.51091239316","17411.51091239316"
"4054","16797.993211760462","16797.993211760462","16797.993211760462"
"4066","17595.164498612503","17595.164498612503","17595.164498612503"
"4074","17381.643563880563","17381.643563880563","17381.643563880563"
"4091","17553.492887001885","17553.492887001885","17553.492887001885"
"4101","17979.18265734266","17979.18265734266","17979.18265734266"
"4104","16917.96910755911","16917.96910755911","16917.96910755911"
"4114","17620.89383763459","17620.89383763459","17620.89383763459"
"4131","17457.958352231104","17457.958352231104","17457.958352231104"
